net,length_um
net845,65.56µm
_19026_,65.44µm
_04622_,65.36µm
_09997_,65.36µm
_18892_,65.34µm
net1330,65.34µm
_18391_,65.32µm
_05152_,65.305µm
_03324_,65.29µm
_03373_,65.28µm
_04997_,65.26µm
_15167_,65.23µm
net66,65.22µm
_14855_,65.2µm
ctrl_cmd_word\[29\],65.16µm
net1644,65.14µm
_04781_,65.12µm
_03716_,65.1µm
_04637_,65.095µm
_03840_,65.08µm
_02995_,65.02µm
_05288_,65µm
_00707_,64.96µm
_04849_,64.95µm
_05943_,64.94µm
net1929,64.89µm
_06690_,64.86µm
_16216_,64.86µm
_19405_,64.84µm
u_pq.cell_key_w\[5\]\[13\],64.84µm
_09248_,64.83µm
_15059_,64.82µm
_00723_,64.8µm
net1742,64.72µm
fast_mask_r\[4\],64.7µm
_21135_,64.66µm
net1498,64.66µm
net1318,64.64µm
net1391,64.61µm
_07108_,64.6µm
_18736_,64.6µm
_18838_,64.54µm
_18384_,64.52µm
_08964_,64.46µm
u_ctrl.tick_count\[29\],64.44µm
net1470,64.44µm
u_pq.cell_key_w\[5\]\[4\],64.38µm
net1776,64.38µm
_18486_,64.34µm
u_sq.cnt_mem\[14\]\[6\],64.34µm
_20440_,64.32µm
_21421_,64.3µm
_21438_,64.3µm
u_ctrl.tt_wr_id\[0\],64.3µm
_07991_,64.28µm
net1471,64.25µm
_11295_,64.22µm
u_sq.cnt_mem\[1\]\[0\],64.22µm
_20473_,64.16µm
_03347_,64.1µm
_04060_,64.1µm
_04268_,64.08µm
_18874_,64.08µm
u_pq.cell_key_w\[4\]\[12\],64.06µm
_03966_,64.04µm
_04482_,64.04µm
_09009_,64.04µm
_21012_,64.04µm
_10635_,64.02µm
net1427,64.02µm
_06337_,63.94µm
_06605_,63.94µm
_20405_,63.94µm
_18217_,63.92µm
net1807,63.91µm
rsp_word\[15\],63.905µm
net1568,63.89µm
_18849_,63.88µm
_20093_,63.86µm
net906,63.845µm
net1576,63.83µm
net915,63.79µm
_04999_,63.78µm
_05042_,63.76µm
_04136_,63.74µm
_08846_,63.74µm
net265,63.74µm
_07180_,63.72µm
_10260_,63.72µm
_21221_,63.72µm
net1703,63.71µm
_04565_,63.68µm
_18180_,63.68µm
_12380_,63.64µm
net1335,63.64µm
_07286_,63.62µm
_19697_,63.62µm
_11158_,63.6µm
_03765_,63.58µm
net1456,63.57µm
_06756_,63.56µm
net622,63.54µm
net1802,63.54µm
net1771,63.5µm
net1561,63.49µm
_03413_,63.48µm
_03501_,63.48µm
_15393_,63.48µm
net1424,63.47µm
_03729_,63.42µm
_04122_,63.4µm
u_ctrl.sched_mode\[1\],63.38µm
_02885_,63.34µm
_16152_,63.32µm
net1634,63.32µm
net1451,63.27µm
_00442_,63.22µm
_00756_,63.22µm
net1404,63.21µm
_09805_,63.2µm
clknet_leaf_183_clk,63.2µm
_11296_,63.18µm
clknet_leaf_157_clk,63.18µm
_03773_,63.16µm
_09535_,63.16µm
clknet_leaf_260_clk,63.16µm
u_ctrl.tick_count\[28\],63.14µm
_16176_,63.12µm
_08538_,63.08µm
_15582_,63.08µm
_00724_,63.06µm
u_pq.cell_key_w\[4\]\[4\],63.02µm
_16992_,62.93µm
net1630,62.93µm
_04384_,62.92µm
_18235_,62.92µm
_05388_,62.9µm
_16951_,62.89µm
net1579,62.85µm
_07105_,62.82µm
net1531,62.8µm
_04539_,62.79µm
_17074_,62.76µm
_19320_,62.72µm
_19580_,62.66µm
_03674_,62.64µm
_21387_,62.64µm
_17324_,62.63µm
net1485,62.63µm
_20585_,62.62µm
clknet_leaf_191_clk,62.62µm
u_sq.cnt_mem\[6\]\[8\],62.6µm
_11885_,62.56µm
net1414,62.5µm
_18752_,62.48µm
u_sq.id_mem\[1\]\[0\],62.45µm
_15741_,62.43µm
_07899_,62.42µm
_10113_,62.42µm
_11299_,62.42µm
net528,62.4µm
net1400,62.4µm
_06824_,62.395µm
net1443,62.39µm
_03914_,62.38µm
net1624,62.38µm
_03634_,62.37µm
_06228_,62.34µm
pq_head_key\[1\],62.33µm
net1881,62.32µm
u_pq.cell_id_w\[4\]\[2\],62.3µm
_00558_,62.28µm
_10029_,62.28µm
net1536,62.28µm
net1607,62.26µm
_18642_,62.24µm
rsp_word\[30\],62.225µm
_19094_,62.22µm
_15076_,62.2µm
_17932_,62.18µm
net352,62.18µm
net1344,62.18µm
net474,62.175µm
u_sq.cnt_mem\[8\]\[7\],62.16µm
_10077_,62.12µm
_04430_,62.11µm
_08035_,62.06µm
net13,62.06µm
_02865_,61.98µm
net1495,61.98µm
_07352_,61.96µm
_03096_,61.94µm
_09572_,61.9µm
net1341,61.9µm
_05411_,61.88µm
_14881_,61.84µm
net1394,61.84µm
_12578_,61.82µm
_08104_,61.8µm
_03326_,61.74µm
_13872_,61.74µm
_17712_,61.71µm
_08078_,61.7µm
net1819,61.7µm
_14817_,61.68µm
_11702_,61.58µm
_03109_,61.54µm
_08926_,61.52µm
net1549,61.52µm
_18018_,61.5µm
_19131_,61.5µm
_12369_,61.495µm
net612,61.48µm
net816,61.48µm
net1592,61.44µm
net1805,61.43µm
_17969_,61.38µm
_09620_,61.36µm
_13810_,61.36µm
_15996_,61.34µm
net1557,61.34µm
_21289_,61.315µm
_06048_,61.3µm
_08048_,61.28µm
net1357,61.28µm
_10488_,61.24µm
_20021_,61.23µm
u_scan.scan_reg\[33\],61.22µm
_17953_,61.2µm
net1719,61.2µm
_18148_,61.16µm
_00649_,61.12µm
_03260_,61.12µm
_11939_,61.12µm
net1578,61.115µm
u_pq.cell_key_w\[3\]\[10\],61.08µm
net1740,61.08µm
net1804,61.07µm
_18854_,61.06µm
_03887_,61.05µm
_09957_,61.04µm
_12595_,61.04µm
net1677,60.99µm
net1336,60.98µm
net1605,60.98µm
net1130,60.94µm
_04663_,60.925µm
_16040_,60.9µm
net1372,60.87µm
net1691,60.86µm
net1571,60.85µm
net907,60.84µm
net1659,60.83µm
_03428_,60.795µm
_19110_,60.78µm
_06752_,60.77µm
net1467,60.77µm
_10996_,60.72µm
_06792_,60.715µm
_05688_,60.7µm
_14440_,60.69µm
_17283_,60.66µm
net948,60.64µm
_08140_,60.62µm
_16123_,60.6µm
_19117_,60.58µm
_08037_,60.54µm
_17530_,60.54µm
_16300_,60.52µm
net1326,60.52µm
_14838_,60.5µm
_04051_,60.44µm
_11228_,60.365µm
_05640_,60.34µm
_04226_,60.32µm
_17943_,60.32µm
net1422,60.31µm
_16186_,60.3µm
_04397_,60.28µm
_10468_,60.26µm
_09683_,60.24µm
net1417,60.24µm
net1429,60.23µm
_13779_,60.18µm
_19429_,60.16µm
_05614_,60.12µm
_07419_,60.12µm
_14876_,60.12µm
_17325_,60.1µm
_06256_,60.08µm
_18483_,60.08µm
_15812_,60.06µm
_16071_,60.02µm
_18060_,60µm
_20776_,59.96µm
_13417_,59.91µm
_15171_,59.885µm
_15737_,59.86µm
_11161_,59.84µm
net1570,59.83µm
pq_head_key\[4\],59.825µm
_11709_,59.76µm
_03800_,59.68µm
net1500,59.67µm
net1800,59.61µm
_19871_,59.6µm
_12656_,59.58µm
fast_mask_r\[3\],59.58µm
_04656_,59.56µm
net428,59.54µm
_00745_,59.5µm
_03351_,59.5µm
_00739_,59.48µm
net1622,59.47µm
net353,59.46µm
_03876_,59.44µm
net6,59.44µm
_06073_,59.4µm
net479,59.4µm
_04349_,59.375µm
_05489_,59.36µm
net1629,59.35µm
_14979_,59.32µm
net1405,59.31µm
_14388_,59.3µm
_19033_,59.3µm
net1912,59.3µm
_21227_,59.28µm
_12653_,59.275µm
net1538,59.27µm
net1524,59.22µm
u_pq.cell_id_w\[4\]\[3\],59.12µm
net1513,59.08µm
net1532,59.08µm
net1825,59.06µm
net1584,59.04µm
_16819_,59µm
cmd_word\[10\],58.885µm
_04278_,58.88µm
net1784,58.88µm
_08661_,58.86µm
net1699,58.86µm
_11083_,58.84µm
_14887_,58.84µm
_02876_,58.82µm
_13141_,58.78µm
net1755,58.77µm
_04431_,58.7µm
_07601_,58.7µm
_20958_,58.58µm
_09963_,58.52µm
_03259_,58.46µm
_17575_,58.42µm
_05433_,58.4µm
net867,58.38µm
_06040_,58.36µm
net1386,58.36µm
_07449_,58.34µm
net965,58.32µm
net1596,58.29µm
_13303_,58.28µm
_14755_,58.22µm
_20655_,58.2µm
_06046_,58.18µm
_10243_,58.13µm
_05805_,58.1µm
_14731_,58.1µm
_20799_,58.1µm
_06376_,58.08µm
u_sq.id_mem\[12\]\[0\],58.04µm
_15384_,57.98µm
_20656_,57.98µm
_16051_,57.96µm
_14805_,57.94µm
net11,57.94µm
net1731,57.92µm
net1775,57.92µm
_17578_,57.9µm
_17268_,57.84µm
_07325_,57.82µm
net1519,57.73µm
_13119_,57.7µm
_00460_,57.68µm
net1419,57.64µm
_08723_,57.54µm
_12510_,57.48µm
_16156_,57.44µm
ctrl_cmd_word2\[1\],57.44µm
_20430_,57.42µm
_16796_,57.38µm
_15194_,57.375µm
_04032_,57.36µm
_17070_,57.36µm
_03879_,57.34µm
net1478,57.34µm
_06607_,57.33µm
_13854_,57.3µm
_14743_,57.28µm
net1480,57.28µm
_03545_,57.225µm
_00502_,57.22µm
_03289_,57.18µm
_07026_,57.16µm
_20766_,57.16µm
_15425_,57.14µm
_17593_,57.14µm
_20246_,57.12µm
net252,57.12µm
_04873_,57.08µm
_10246_,57.06µm
net1432,57.04µm
_02856_,57µm
_11144_,56.98µm
_18422_,56.98µm
_15399_,56.96µm
net1631,56.96µm
net1700,56.96µm
_07620_,56.94µm
_18906_,56.94µm
_19883_,56.94µm
_20140_,56.93µm
net1479,56.93µm
net1309,56.9µm
rsp_word\[14\],56.875µm
_21428_,56.82µm
waiting_word2,56.82µm
_06023_,56.78µm
_20436_,56.78µm
net1818,56.75µm
fast_mask_r\[6\],56.7µm
_19136_,56.67µm
_15911_,56.66µm
net1466,56.62µm
_08358_,56.6µm
_10072_,56.585µm
net1752,56.57µm
_12584_,56.56µm
_21359_,56.52µm
_13339_,56.44µm
net1447,56.44µm
_15899_,56.4µm
_19483_,56.4µm
_20283_,56.4µm
_00004_,56.38µm
net1529,56.37µm
_10279_,56.36µm
_10519_,56.34µm
_03866_,56.32µm
pq_head_key\[6\],56.32µm
_05704_,56.28µm
_03916_,56.26µm
_14890_,56.26µm
_20790_,56.26µm
net1351,56.26µm
net912,56.24µm
_19120_,56.22µm
_09041_,56.2µm
_07571_,56.18µm
_15159_,56.18µm
_17942_,56.18µm
_08172_,56.16µm
_18881_,56.14µm
net1293,56.14µm
_06475_,56.08µm
_21326_,56µm
_16072_,55.98µm
_19421_,55.98µm
net1448,55.97µm
net384,55.96µm
_14632_,55.92µm
_06093_,55.86µm
_17936_,55.82µm
_06606_,55.81µm
_20628_,55.8µm
_05967_,55.78µm
net1550,55.77µm
_14782_,55.7µm
_03737_,55.695µm
_18404_,55.62µm
_03529_,55.6µm
_18626_,55.6µm
ctrl_cmd_valid,55.58µm
u_pq.cell_id_w\[1\]\[3\],55.58µm
rsp_word\[24\],55.56µm
_20200_,55.55µm
_04854_,55.515µm
_15916_,55.5µm
_00678_,55.48µm
_20033_,55.48µm
_15472_,55.44µm
_16981_,55.44µm
net1602,55.42µm
net1392,55.41µm
_08220_,55.4µm
_11458_,55.38µm
_15710_,55.36µm
_15526_,55.34µm
net1599,55.34µm
_05762_,55.31µm
_03911_,55.3µm
_04030_,55.28µm
_00690_,55.22µm
_18984_,55.16µm
net211,55.15µm
_05751_,55.12µm
_14941_,55.12µm
net1610,55.12µm
_11847_,55.08µm
u_sq.cnt_mem\[1\]\[1\],55.08µm
_15677_,55.04µm
_18034_,55.04µm
_08693_,54.96µm
_20942_,54.96µm
_11530_,54.94µm
_10599_,54.92µm
_18788_,54.9µm
u_sq.cnt_mem\[0\]\[30\],54.9µm
_08767_,54.88µm
net480,54.88µm
net1460,54.86µm
net1674,54.86µm
net1894,54.86µm
net1809,54.85µm
_04336_,54.78µm
_04423_,54.72µm
_04569_,54.72µm
_07823_,54.72µm
net1573,54.71µm
_20027_,54.7µm
_20319_,54.7µm
_08122_,54.68µm
_18572_,54.68µm
_07101_,54.6µm
net90,54.6µm
_15641_,54.57µm
_02799_,54.515µm
_00773_,54.48µm
_03972_,54.48µm
_04545_,54.48µm
_18819_,54.48µm
_00549_,54.46µm
net1820,54.45µm
_07058_,54.44µm
net1824,54.43µm
_10120_,54.42µm
_08354_,54.4µm
_08396_,54.35µm
_20814_,54.34µm
_17667_,54.3µm
net493,54.3µm
_03658_,54.28µm
_18558_,54.28µm
_09228_,54.27µm
_18856_,54.2µm
net787,54.2µm
_10910_,54.18µm
net828,54.18µm
_10360_,54.16µm
_13773_,54.14µm
pq_head_key\[11\],54.115µm
_17959_,54.08µm
u_pq.cell_key_w\[4\]\[2\],54.06µm
cmd_word\[8\],54.05µm
_14804_,54.04µm
_15079_,54.04µm
_02964_,54.02µm
_06614_,54.02µm
_00439_,54.005µm
_09782_,54µm
u_pq.cell_key_w\[3\]\[8\],54µm
_10966_,53.94µm
_05178_,53.92µm
_15383_,53.9µm
net1554,53.87µm
_03821_,53.86µm
_05828_,53.84µm
_04886_,53.82µm
net453,53.78µm
net1363,53.78µm
_00596_,53.76µm
_16422_,53.76µm
_15492_,53.72µm
_20843_,53.72µm
_04711_,53.68µm
_15035_,53.68µm
_17949_,53.68µm
_11065_,53.62µm
_04874_,53.58µm
_06922_,53.58µm
_21210_,53.54µm
net1608,53.53µm
_03653_,53.52µm
u_sq.cnt_mem\[3\]\[19\],53.42µm
net1501,53.39µm
fast_mask_r\[1\],53.38µm
_11167_,53.32µm
net1319,53.32µm
_14923_,53.3µm
_17287_,53.3µm
_12147_,53.26µm
_04972_,53.22µm
_08106_,53.22µm
fast_mask_r\[0\],53.2µm
_04396_,53.1µm
_06894_,53.095µm
_02978_,53.08µm
_04761_,53.08µm
net1324,53.08µm
u_sq.cnt_mem\[6\]\[24\],53.06µm
_03004_,53.04µm
_04401_,53.03µm
_10655_,53µm
_18321_,52.98µm
_19723_,52.98µm
pq_head_key\[3\],52.98µm
_05613_,52.96µm
_10250_,52.94µm
_15068_,52.88µm
_18218_,52.86µm
_10173_,52.84µm
_16807_,52.82µm
u_pq.cell_id_w\[5\]\[0\],52.795µm
_14511_,52.74µm
_18545_,52.74µm
_07410_,52.72µm
u_spi.tx_shift\[27\],52.7µm
_06732_,52.66µm
pq_head_key\[9\],52.66µm
net1343,52.66µm
_18374_,52.64µm
_15800_,52.635µm
_14950_,52.555µm
_04583_,52.52µm
_09747_,52.52µm
_11210_,52.52µm
_10595_,52.51µm
_06326_,52.49µm
_07560_,52.44µm
_08145_,52.42µm
_06468_,52.38µm
_03384_,52.36µm
_15315_,52.32µm
_04847_,52.3µm
_18204_,52.26µm
_12373_,52.24µm
u_sq.cnt_mem\[6\]\[9\],52.18µm
_03769_,52.16µm
_15310_,52.16µm
clknet_leaf_112_clk,52.12µm
_17206_,52.1µm
net1903,52.08µm
_05852_,52.02µm
_05616_,52µm
_10134_,51.98µm
_13836_,51.92µm
_16373_,51.92µm
_07909_,51.88µm
net761,51.87µm
net1787,51.87µm
net1461,51.83µm
_07120_,51.82µm
u_scan.scan_reg\[9\],51.8µm
_02936_,51.76µm
_09226_,51.74µm
net1587,51.73µm
_08480_,51.72µm
_21397_,51.72µm
net268,51.72µm
_11205_,51.7µm
_12108_,51.68µm
net1310,51.67µm
net1356,51.67µm
sq_enq_counter\[21\],51.66µm
net1637,51.66µm
_19081_,51.64µm
_04736_,51.61µm
_08536_,51.6µm
_18241_,51.5µm
_03241_,51.45µm
_08504_,51.44µm
net1364,51.44µm
u_sq.cnt_mem\[1\]\[10\],51.4µm
_15534_,51.38µm
_03458_,51.36µm
_18497_,51.36µm
_18606_,51.36µm
net1566,51.35µm
_18956_,51.32µm
_07662_,51.3µm
u_sq.id_mem\[7\]\[3\],51.3µm
_15735_,51.26µm
u_sq.id_mem\[3\]\[0\],51.26µm
net1353,51.26µm
_13375_,51.25µm
net1701,51.24µm
net1379,51.23µm
net1565,51.23µm
_17270_,51.22µm
_08571_,51.2µm
net1915,51.2µm
net1773,51.19µm
net1459,51.18µm
_06012_,51.16µm
_07707_,51.16µm
_08296_,51.12µm
_05049_,51.11µm
_19208_,51.08µm
_21184_,51.06µm
net1101,51.06µm
net1453,51.05µm
_12694_,51.04µm
_05970_,51.02µm
_07240_,51.02µm
_07341_,51.02µm
_16191_,51.02µm
_07345_,50.96µm
_07532_,50.92µm
u_sq.cnt_mem\[6\]\[13\],50.92µm
net1580,50.92µm
net1368,50.91µm
_06266_,50.88µm
_20636_,50.88µm
u_sq.valid_mem\[10\]\[0\],50.88µm
_04459_,50.8µm
net1346,50.76µm
_00775_,50.72µm
_00661_,50.7µm
_00738_,50.7µm
_00823_,50.7µm
_14542_,50.7µm
_18348_,50.7µm
_14945_,50.685µm
_11837_,50.68µm
_19411_,50.68µm
_18102_,50.62µm
net688,50.62µm
_05675_,50.6µm
_13776_,50.6µm
_17360_,50.58µm
_03401_,50.52µm
_04359_,50.5µm
_11396_,50.5µm
net24,50.5µm
_00717_,50.465µm
u_sq.cnt_mem\[15\]\[14\],50.46µm
cmd_word\[15\],50.45µm
_18839_,50.44µm
_19820_,50.38µm
_18699_,50.36µm
_06502_,50.34µm
_00559_,50.32µm
_16099_,50.26µm
_13818_,50.24µm
_15747_,50.22µm
_18468_,50.22µm
_15907_,50.14µm
_06372_,50.12µm
u_ctrl.tick_count\[18\],50.11µm
_16253_,50.1µm
net1746,50.07µm
_15834_,50.04µm
u_sq.id_mem\[7\]\[2\],50.04µm
net1440,50.04µm
_11896_,50.02µm
_14446_,50µm
_19244_,50µm
net1708,49.98µm
_03470_,49.92µm
_03812_,49.86µm
_08189_,49.86µm
_18621_,49.86µm
_20382_,49.86µm
net1790,49.85µm
net1406,49.83µm
_21420_,49.8µm
_04552_,49.79µm
_07910_,49.78µm
_15758_,49.74µm
net1727,49.74µm
_10459_,49.7µm
_12464_,49.7µm
_06994_,49.68µm
net83,49.68µm
_11439_,49.66µm
net1797,49.65µm
_04932_,49.64µm
_16668_,49.64µm
_08702_,49.62µm
_18905_,49.62µm
_18268_,49.6µm
_19014_,49.59µm
_10826_,49.54µm
_00666_,49.5µm
net935,49.5µm
net1613,49.49µm
_10542_,49.48µm
net1706,49.45µm
_05202_,49.44µm
_14905_,49.44µm
net1367,49.38µm
net1672,49.38µm
rsp_word\[4\],49.365µm
_19540_,49.34µm
_15122_,49.32µm
net1355,49.32µm
_03462_,49.3µm
pq_head_key\[8\],49.28µm
_04744_,49.26µm
_09755_,49.2µm
net1425,49.19µm
net842,49.17µm
_20664_,49.15µm
_06115_,49.12µm
_05019_,49.08µm
_06820_,49.08µm
_09933_,49.06µm
_16160_,49.02µm
u_pq.cell_key_w\[4\]\[10\],49.02µm
_15612_,49.01µm
_07498_,48.98µm
_08050_,48.98µm
_02985_,48.96µm
_14444_,48.94µm
_16617_,48.92µm
_21295_,48.92µm
_11086_,48.9µm
_11714_,48.9µm
_07160_,48.88µm
_08541_,48.86µm
net1376,48.85µm
_18861_,48.84µm
_03169_,48.83µm
_04394_,48.82µm
net1597,48.76µm
net1919,48.76µm
_08527_,48.72µm
net1777,48.68µm
_18031_,48.67µm
_18082_,48.66µm
_15829_,48.62µm
_05989_,48.58µm
_08752_,48.54µm
_05738_,48.5µm
_08338_,48.5µm
_14784_,48.48µm
_15342_,48.48µm
_06304_,48.46µm
_15941_,48.46µm
_20374_,48.44µm
net1657,48.43µm
_10178_,48.42µm
_16225_,48.4µm
_19651_,48.4µm
_20994_,48.38µm
_17257_,48.34µm
_19541_,48.26µm
_03053_,48.24µm
_06522_,48.24µm
net1611,48.19µm
_00564_,48.18µm
_02977_,48.18µm
_06015_,48.14µm
_10533_,48.14µm
_20300_,48.135µm
u_sq.cnt_mem\[1\]\[20\],48.12µm
net1551,48.12µm
net1541,48.09µm
_14854_,48.08µm
_05571_,48.04µm
_17616_,48.04µm
_03788_,48.02µm
net1090,48.02µm
_04764_,48µm
_12438_,48µm
_18412_,47.98µm
net1869,47.97µm
_06113_,47.9µm
_08728_,47.9µm
_10794_,47.88µm
_06044_,47.86µm
_20800_,47.86µm
pq_head_key\[2\],47.825µm
_08547_,47.82µm
_02854_,47.8µm
_04084_,47.78µm
_15769_,47.78µm
_03848_,47.76µm
_11637_,47.76µm
_18358_,47.76µm
net1642,47.75µm
_03467_,47.74µm
_16302_,47.74µm
_14739_,47.72µm
_18012_,47.72µm
_00526_,47.7µm
_06120_,47.7µm
_05055_,47.69µm
_19561_,47.68µm
_03243_,47.66µm
_08154_,47.66µm
_20816_,47.66µm
_20279_,47.58µm
u_pq.cell_key_w\[5\]\[8\],47.56µm
_00676_,47.54µm
_16120_,47.54µm
_05895_,47.52µm
_10913_,47.52µm
_20086_,47.515µm
net1606,47.51µm
_05781_,47.49µm
_09831_,47.46µm
_17956_,47.42µm
net1704,47.4µm
_09543_,47.35µm
_00532_,47.325µm
_03268_,47.3µm
_18923_,47.22µm
_06850_,47.12µm
_08588_,47.12µm
_10560_,47.1µm
net1791,47.08µm
net1645,47.06µm
_00550_,47.02µm
_20963_,47.01µm
_06611_,46.96µm
_18589_,46.94µm
_04061_,46.9µm
_17367_,46.88µm
net1586,46.85µm
net1373,46.79µm
_19019_,46.78µm
net1323,46.78µm
net1857,46.78µm
_19548_,46.76µm
net1348,46.74µm
net1585,46.74µm
net1772,46.73µm
_06754_,46.7µm
_15657_,46.7µm
u_ctrl.tt_wr_remaining_wcet\[9\],46.68µm
net1747,46.65µm
_11761_,46.64µm
_15681_,46.6µm
_19496_,46.56µm
net607,46.56µm
_14528_,46.5µm
_20113_,46.48µm
_00800_,46.42µm
_14789_,46.4µm
_04936_,46.38µm
_16197_,46.36µm
_04076_,46.34µm
_06103_,46.3µm
_05806_,46.24µm
_21406_,46.24µm
_06388_,46.22µm
_07608_,46.22µm
_04983_,46.21µm
_07334_,46.18µm
_14880_,46.18µm
net1598,46.155µm
net944,46.14µm
_08388_,46.13µm
_03807_,46.12µm
_10509_,46.12µm
_10699_,46.12µm
_06574_,46.08µm
_11670_,46.06µm
rsp_word\[28\],46.055µm
_18043_,46.04µm
_03511_,45.995µm
_04982_,45.98µm
_10155_,45.95µm
u_ctrl.u_task_table.period_mem\[10\]\[13\],45.94µm
net952,45.94µm
_05086_,45.915µm
sq_wake_id\[0\],45.9µm
_06122_,45.86µm
net1515,45.86µm
_16060_,45.82µm
u_pq.cell_id_w\[5\]\[3\],45.82µm
net850,45.82µm
_17451_,45.81µm
_16275_,45.8µm
_20842_,45.8µm
net1812,45.77µm
_15170_,45.76µm
_20738_,45.73µm
_06787_,45.71µm
_00490_,45.7µm
_07849_,45.68µm
_09808_,45.6µm
_12139_,45.6µm
net1450,45.57µm
_16206_,45.56µm
_20536_,45.56µm
_03771_,45.55µm
_14884_,45.55µm
net1635,45.54µm
_04929_,45.51µm
_18962_,45.46µm
_09251_,45.45µm
_19881_,45.44µm
net1381,45.43µm
u_ctrl.tt_wr_remaining_wcet\[13\],45.4µm
_18557_,45.38µm
u_sq.cnt_mem\[1\]\[11\],45.38µm
_05258_,45.36µm
_17763_,45.36µm
_15822_,45.32µm
_00566_,45.28µm
_09700_,45.28µm
_06903_,45.22µm
_12535_,45.22µm
_05408_,45.2µm
_12440_,45.2µm
_16207_,45.2µm
_21284_,45.2µm
_20653_,45.18µm
_04519_,45.16µm
_07163_,45.16µm
_11895_,45.16µm
net1683,45.15µm
_09140_,45.14µm
_14777_,45.14µm
_18057_,45.14µm
_21064_,45.14µm
u_pq.cell_id_w\[5\]\[2\],45.14µm
_03076_,45.12µm
pq_head_key\[0\],45.11µm
_14769_,45.06µm
_20956_,45.06µm
_13195_,45.02µm
_03052_,45µm
net267,45µm
_19839_,44.96µm
_20502_,44.92µm
_00597_,44.88µm
_05098_,44.87µm
_14949_,44.82µm
_16398_,44.8µm
_16100_,44.74µm
_20996_,44.74µm
_03620_,44.72µm
_06054_,44.66µm
_08778_,44.66µm
_17745_,44.66µm
_20747_,44.62µm
net492,44.61µm
_20758_,44.6µm
pq_head_key\[7\],44.6µm
_04095_,44.58µm
_14752_,44.58µm
net72,44.575µm
_00771_,44.56µm
_05730_,44.54µm
_20040_,44.52µm
_14589_,44.5µm
_14862_,44.5µm
_06208_,44.46µm
_11033_,44.46µm
_07280_,44.44µm
pq_head_key\[14\],44.44µm
_11481_,44.4µm
net1567,44.38µm
_14400_,44.36µm
net1728,44.35µm
_14997_,44.3µm
_15634_,44.28µm
_06634_,44.26µm
_19897_,44.26µm
net1552,44.25µm
_19984_,44.22µm
_06731_,44.2µm
net429,44.2µm
_07481_,44.18µm
_21305_,44.18µm
_00491_,44.14µm
_11950_,44.14µm
_15721_,44.12µm
_18908_,44.12µm
net1795,44.09µm
_09242_,44.06µm
_15665_,44.06µm
_21109_,44.04µm
_11811_,44.02µm
net1828,44.01µm
_09509_,44µm
_05368_,43.98µm
_12643_,43.92µm
_18163_,43.92µm
_15395_,43.88µm
_11504_,43.82µm
_15687_,43.82µm
_14504_,43.8µm
_08159_,43.76µm
net1354,43.76µm
_18099_,43.74µm
net1713,43.74µm
_10139_,43.72µm
_19990_,43.72µm
_06355_,43.68µm
_11376_,43.64µm
_20493_,43.64µm
_21191_,43.64µm
net1712,43.63µm
_15732_,43.62µm
_20152_,43.56µm
net1328,43.56µm
_00589_,43.54µm
net91,43.54µm
_15904_,43.52µm
_05116_,43.5µm
_16165_,43.5µm
_17888_,43.5µm
net1446,43.49µm
_16260_,43.48µm
_08759_,43.46µm
_05269_,43.44µm
_16175_,43.44µm
pq_head_key\[10\],43.44µm
net106,43.44µm
net338,43.44µm
_03624_,43.38µm
_04767_,43.38µm
_14795_,43.38µm
u_ctrl.u_task_table.period_mem\[9\]\[13\],43.37µm
_02954_,43.32µm
net1684,43.32µm
_21015_,43.3µm
_03305_,43.24µm
_15550_,43.22µm
_17261_,43.22µm
_07149_,43.18µm
_15589_,43.18µm
_15073_,43.125µm
_10894_,43.12µm
_19478_,43.08µm
_07636_,43.06µm
_14607_,43.06µm
net1651,43.05µm
_11668_,43.04µm
_15663_,43.04µm
u_ctrl.u_task_table.period_mem\[14\]\[15\],43.04µm
_14725_,43.02µm
_03930_,43µm
_08496_,43µm
_19402_,43µm
_18207_,42.98µm
net1352,42.98µm
rsp_word\[3\],42.965µm
_07329_,42.96µm
_08531_,42.96µm
_15592_,42.94µm
u_ctrl.u_task_table.period_mem\[12\]\[15\],42.92µm
_07948_,42.88µm
_15011_,42.88µm
u_sq.id_mem\[9\]\[0\],42.86µm
net1756,42.85µm
_02972_,42.84µm
_06497_,42.84µm
_18385_,42.84µm
net713,42.84µm
net1496,42.82µm
_09424_,42.76µm
_08060_,42.74µm
_04819_,42.72µm
net1378,42.72µm
net1374,42.67µm
_03960_,42.66µm
_15633_,42.66µm
_15556_,42.64µm
_19437_,42.64µm
net1896,42.64µm
_05453_,42.62µm
_19953_,42.6µm
_05357_,42.56µm
_06310_,42.56µm
_07260_,42.54µm
_10626_,42.52µm
_03448_,42.465µm
net107,42.45µm
_07806_,42.44µm
_10530_,42.44µm
_11143_,42.42µm
_12538_,42.4µm
_14846_,42.38µm
net1817,42.38µm
_00563_,42.36µm
_03703_,42.36µm
_21156_,42.32µm
net1806,42.32µm
net1366,42.29µm
_06033_,42.28µm
_07378_,42.28µm
_20906_,42.26µm
_20880_,42.24µm
_10979_,42.23µm
_04195_,42.2µm
_18236_,42.2µm
_16059_,42.18µm
_05721_,42.16µm
_18350_,42.16µm
_04834_,42.14µm
_08988_,42.14µm
_15072_,42.14µm
u_sq.cnt_mem\[0\]\[31\],42.08µm
net1340,42.08µm
_07398_,42.06µm
